,ttId,day,slotNo,roomId,classId,subjectId,teacherId,batchId,configId,snapShotId,isBreak
0,0,0,0,1,2,6,31,-,0,0,0
1,1,0,0,2,5,36,3,-,0,0,0
2,2,0,0,5,6,50,,56,0,0,0
3,3,0,0,6,8,4,,8,0,0,0
4,4,0,0,3,10,3,26,-,0,0,0
5,5,0,1,5,5,39,,41,0,0,0
6,6,0,1,6,6,50,,53,0,0,0
7,7,0,1,7,6,50,,57,0,0,0
8,8,0,1,8,7,50,,64,0,0,0
9,9,0,1,9,7,50,,67,0,0,0
10,10,0,1,10,8,4,,8,0,0,0
11,11,0,1,11,8,2,,7,0,0,0
12,12,0,1,12,12,4,,21,0,0,0
13,13,0,2,1,2,8,14,-,0,0,0
14,14,0,2,2,3,7,24,-,0,0,0
15,15,0,2,5,4,19,,38,0,0,0
16,16,0,2,6,4,23,,39,0,0,0
17,17,0,2,7,5,39,,41,0,0,0
18,18,0,2,8,6,50,,53,0,0,0
19,19,0,2,9,8,4,,6,0,0,0
20,20,0,2,10,9,2,,11,0,0,0
21,21,0,2,11,11,2,,19,0,0,0
22,22,0,2,12,11,4,,20,0,0,0
23,23,0,2,13,12,4,,21,0,0,0
24,24,0,3,1,2,7,24,-,0,0,0
25,25,0,3,2,3,8,14,-,0,0,0
26,26,0,3,5,4,19,,38,0,0,0
27,27,0,3,6,4,23,,39,0,0,0
28,28,0,3,7,8,4,,6,0,0,0
29,29,0,3,8,11,4,,20,0,0,0
30,30,0,3,9,12,4,,24,0,0,0
31,31,0,3,3,13,53,6,-,0,0,0
32,32,0,4,1,3,5,40,-,0,0,0
33,33,0,4,5,4,19,,38,0,0,0
34,34,0,4,6,4,23,,39,0,0,0
35,35,0,4,7,5,31,,76,0,0,0
36,36,0,4,8,12,4,,24,0,0,0
37,37,0,4,9,12,4,,23,0,0,0
38,38,0,5,5,4,22,,37,0,0,0
39,39,0,5,6,4,19,,39,0,0,0
40,40,0,5,7,5,31,,76,0,0,0
41,41,0,5,8,6,50,,56,0,0,0
42,42,0,5,9,9,4,,10,0,0,0
43,43,0,5,10,12,4,,23,0,0,0
44,44,0,6,1,2,7,24,-,0,0,0
45,45,0,6,5,4,22,,38,0,0,0
46,46,0,6,6,4,22,,37,0,0,0
47,47,0,6,7,4,19,,39,0,0,0
48,48,0,6,8,5,31,,76,0,0,0
49,49,0,6,9,8,2,,7,0,0,0
50,50,0,6,10,9,4,,10,0,0,0
51,51,0,6,11,10,2,,13,0,0,0
52,52,0,6,12,10,4,,16,0,0,0
53,53,0,6,2,11,3,9,-,0,0,0
54,54,0,6,13,12,2,,22,0,0,0
55,55,0,6,14,12,2,,21,0,0,0
56,56,0,6,15,12,2,,23,0,0,0
57,57,0,6,3,13,55,4,-,0,0,0
58,58,0,7,1,2,9,23,-,0,0,0
59,59,0,7,2,3,9,5,-,0,0,0
60,60,0,7,5,4,22,,38,0,0,0
61,61,0,7,6,4,22,,37,0,0,0
62,62,0,7,7,4,19,,39,0,0,0
63,63,0,7,3,5,60,43,-,0,0,0
64,64,0,7,4,8,3,22,-,0,0,0
65,65,0,7,8,10,4,,13,0,0,0
66,66,0,7,9,10,4,,16,0,0,0
67,67,0,7,10,11,4,,20,0,0,0
68,68,0,8,5,2,1,,34,0,0,0
69,69,0,8,1,3,9,5,-,0,0,0
70,70,0,8,6,4,22,,38,0,0,0
71,71,0,8,7,5,39,,43,0,0,0
72,72,0,8,8,9,2,,10,0,0,0
73,73,0,8,9,9,2,,9,0,0,0
74,74,0,8,10,10,4,,13,0,0,0
75,75,0,8,11,11,4,,20,0,0,0
76,76,0,8,12,12,2,,21,0,0,0
